Flight No.,"Version, Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launch outcome,Booster landing,Payload,Version Booster,Date,Time
1,,CCAFS,,0,LEO,SpaceX,<generator object Tag._all_strings at 0x00000200078C7D40>,Failure,Dragon Spacecraft Qualification Unit,"<td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-0""><a href=""#cite_note-MuskMay2012-13""><span class=""cite-bracket"">[</span>7<span class=""cite-bracket"">]</span></a></sup><br/>B0003.1<sup class=""reference"" id=""cite_ref-block_numbers_14-0""><a href=""#cite_note-block_numbers-14""><span class=""cite-bracket"">[</span>8<span class=""cite-bracket"">]</span></a></sup>
</td>","4 June 2010,",18:45
2,,CCAFS,,0,LEO,NASA,<generator object Tag._all_strings at 0x00000200078C7840>,Failure,Dragon,"<td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-1""><a href=""#cite_note-MuskMay2012-13""><span class=""cite-bracket"">[</span>7<span class=""cite-bracket"">]</span></a></sup><br/>B0004.1<sup class=""reference"" id=""cite_ref-block_numbers_14-1""><a href=""#cite_note-block_numbers-14""><span class=""cite-bracket"">[</span>8<span class=""cite-bracket"">]</span></a></sup>
</td>","8 December 2010,",15:43
3,,CCAFS,,525 kg,LEO,NASA,<generator object Tag._all_strings at 0x00000200078C6F40>,"No attempt
",Dragon,"<td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-2""><a href=""#cite_note-MuskMay2012-13""><span class=""cite-bracket"">[</span>7<span class=""cite-bracket"">]</span></a></sup><br/>B0005.1<sup class=""reference"" id=""cite_ref-block_numbers_14-2""><a href=""#cite_note-block_numbers-14""><span class=""cite-bracket"">[</span>8<span class=""cite-bracket"">]</span></a></sup>
</td>","22 May 2012,",07:44
4,,CCAFS,,"4,700 kg",LEO,NASA,<generator object Tag._all_strings at 0x00000200078C6A40>,No attempt,SpaceX CRS-1,"<td rowspan=""2""><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-3""><a href=""#cite_note-MuskMay2012-13""><span class=""cite-bracket"">[</span>7<span class=""cite-bracket"">]</span></a></sup><br/>B0006.1<sup class=""reference"" id=""cite_ref-block_numbers_14-3""><a href=""#cite_note-block_numbers-14""><span class=""cite-bracket"">[</span>8<span class=""cite-bracket"">]</span></a></sup>
</td>","8 October 2012,",00:35
5,,CCAFS,,"4,877 kg",LEO,NASA,<generator object Tag._all_strings at 0x00000200078C7940>,"No attempt
",SpaceX CRS-2,"<td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-4""><a href=""#cite_note-MuskMay2012-13""><span class=""cite-bracket"">[</span>7<span class=""cite-bracket"">]</span></a></sup><br/>B0007.1<sup class=""reference"" id=""cite_ref-block_numbers_14-4""><a href=""#cite_note-block_numbers-14""><span class=""cite-bracket"">[</span>8<span class=""cite-bracket"">]</span></a></sup>
</td>","1 March 2013,",15:10
6,,VAFB,,500 kg,Polar orbit,MDA,<generator object Tag._all_strings at 0x00000200078C7040>,Uncontrolled,CASSIOPE,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-5""><a href=""#cite_note-MuskMay2012-13""><span class=""cite-bracket"">[</span>7<span class=""cite-bracket"">]</span></a></sup><br/>B1003<sup class=""reference"" id=""cite_ref-block_numbers_14-5""><a href=""#cite_note-block_numbers-14""><span class=""cite-bracket"">[</span>8<span class=""cite-bracket"">]</span></a></sup>
</td>","29 September 2013,",16:00
7,,CCAFS,,"3,170 kg",GTO,SES,<generator object Tag._all_strings at 0x00000200078C7E40>,No attempt,SES-8,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a><br/>B1004
</td>","3 December 2013,",22:41
8,,CCAFS,,"3,325 kg",GTO,Thaicom,<generator object Tag._all_strings at 0x00000200078C7C40>,No attempt,Thaicom 6,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>","6 January 2014,",22:06
9,,Cape Canaveral,,"2,296 kg",LEO,NASA,<generator object Tag._all_strings at 0x00000200078C7640>,Controlled,SpaceX CRS-3,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>","18 April 2014,",19:25
10,,Cape Canaveral,,"1,316 kg",LEO,Orbcomm,<generator object Tag._all_strings at 0x0000020003F64D40>,Controlled,Orbcomm-OG2,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>","14 July 2014,",15:15
